ISBN,正书名,作者,出版单位,出版时间,其他责任者,定价(元),装帧方式,开本或尺寸,副书名及说明文字,丛书名,分册名,分册号,正文语种,版次,市场分类,学科分类,中图法分类,CIP核发时间,主题词,入选书单,内容摘要
9787572125539,宇宙奥秘启蒙绘本,(澳)卡米拉·戈登,长江少年儿童出版社,2022.4,"胡江波,编译",298.00,盒装,21*21,,,,,汉英对照,1,科普/百科,教育学,G613.3,2022-02,科学知识; 学前教育; 教学参考资料,,这套丛书由10个有趣的、图文并茂的、让孩子一看就懂的“科普描述型”故事组成。内容跨越从宇宙天体到地质生态，再到生活常识的几个大维度，为孩子展示宏观世界的同时，也帮助孩子理解这些看上去如此神秘壮观的事物其实和我们的日常生活息息相关，给孩子传达每个人、每个物体其实都是“宇宙尘埃”的思想，让孩子学习知识的同时也学会用博大的心胸看待事物。每本书配套有内容相关的游戏操作材料包，供孩子在动手过程中理解科学知识，激发学习兴趣。
9787558338007,妙趣科学,（德）多丽丝·吕贝尔，著绘,新世纪出版社,2023.5,风雷，译,39.80,精装,16^28,,分享、友爱与帮助,,1,中文,,科普/百科,教育学,G613.3,2023-03,科学知识; 学前教育; 教学参考资料,,本书是一本适合2-4岁小朋友的科普翻翻书，是“妙趣科学”系列图书的其中一册。全书主要围绕以下问题进行介绍：我们要跟别人分享什么？我们怎么能够和别人达成一致？怎么友好和睦地与他人相处？如何帮助和关心他人？孩子们在阅读中能够找到这些问题的答案，帮助小朋友更好地建立与他人的关系。书中设计了一系列翻一翻、转一转等互动机关，增强孩子们的阅读体验。
9787547744291,内裤大作战,"(日)小室尚子,著",北京日报出版社,2023.6,"卓扬,译",50.00,精装,15*21,,小怪兽想象力桥梁书,,1,中文,,手工/游戏,生物学,R32-49,2022-11,人体; 少儿读物,,“小怪兽想象力绘本”分为上下两册，即《人体王国大冒险》和《算术王国大冒险》。本书充满想象力，讲述了怪兽帕尔贡和其人类朋友瓦塔尔一起寻找内裤的奇妙故事。在《人体王国大冒险》中，瓦塔尔由于腿受伤而进妖怪医院治疗，帕尔贡在医院里弄丢了内裤，而治疗和寻找内裤的过程中设置了很多有关人体知识的的游戏，这是一场人体王国大冒险。在《算术王国大冒险》中，瓦塔尔和帕尔贡根据怪人瓦鲁偷完内裤而留下的纸条，开启了寻找内裤之旅，在此过程中二人通过与怪人们展开有关算术知识的游戏大战，而最终找回内裤，这是一场算术王国大冒险。
9787541166327,绕着地球去发现,"(英)克莱夫·吉福德,(英)苏西·布鲁克斯,著",四川文艺出版社,2023.6,"张灵羚,译",198.00,精装,25 * 20,上下册,,,,中文,1,科普/百科,历史学,K103-49,2023-05,世界史; 文化史; 儿童读物,,这是一本以世界游为主题的儿童科普读物。书中为孩子们介绍了14个著名的国家，内容包括这些国家的著名城市、风景名胜、自然风光、民风民俗、传统节日、文化艺术、特色美食、传奇人物、发明创造等。阅读本书，孩子们能够了解不同国家的社会风貌，学到地理、历史、经济、文化、生物、科技等多方面的知识。丰富的内容搭建起科学的知识体系，近700幅精美高清图片能为小读者带来震撼的视觉感触。目前童书市场上有关“文化旅行”的图书大多以“游中国”为主题，少有涉及世界各国内容的，本书的出版能够弥补市场空白。此外，本书能够帮助孩子拓展眼界、培养世界观，打下良好的文化基础，让那些没有机会出国旅行的孩子足不出户便可体验世界各地的生活。
9787571428556,“假如有一天”科学幻想绘本系列,"(日) 山本省三, 著",北京科学技术出版社,2023.7,"张彤, 苟颖, 何芳, 戴黛, 译",225.00,精装,23 * 20,全5册,,,,中文,1,儿童文学,宗教学,1313.85,2023-01,儿童故事; 图画故事; 日本; 现代,,本套书共4本：《宇宙空间站的一天》《月球上的一天》《和恐龙生活的一天》《和机器人一起生活》。讲述了4个科学幻想故事，适合4岁以上儿童阅读。1.《宇宙空间站的一天》：本书以一个小学生的日记的形式，记录了他生活在宇宙中的一天。其中，穿插了各式各样有关重力知识的介绍。本书用简单的语言讲解失重条件下物体运动的特点、液体表面张力的作用，加深对质量、重量等基本物理概念的理解。也解答了孩子们对宇航员在宇宙空间站中生活的种种疑问。
9787573611185,它们是怎样建成的：桥梁,"(日) 山田和明, 绘",青岛出版社,2023.6,"丁丁虫, 译",128.00,平装,21 * 30,,,,4,中文,1,科普/百科,土木建筑工程,TU-49,2023-05,桥梁工程; 儿童读物,,道路、桥梁、隧道、高楼大厦是如何建造的呢？这套书的插图严谨细致而又不失趣味，以一个固定的场景为核心，详细地展示了这些常见的工程项目在实施过程中工地及周边区域的点滴变化，并介绍了其中运用到的科学道理和工具设备，既能在一定程度上满足儿童的好奇心，又能进一步激发他们对科学及工程的兴趣。
9787514239461,太喜欢探索了,(意)弗朗切斯卡·马萨,文化发展出版社,2023.5,"(意)马可·费拉里斯,绘;王澎,译",179.80,平装,17*24,,成为小小厨艺师,,3,中文,1,科普/百科,,Z228.1,2023-03,科学知识; 儿童读物,,《太喜欢探索了》系列全四册，包括《成为小小艺术家》《成为小小科学家》《成为小小园艺师》《成为小小厨艺师》，本系列为孩子精心打造，引导孩子与书中的汤米和玛尔塔一起动手动脑，每一个细节、每一个步骤都有精简的文字和可爱的插画，不但让孩子获得全方位的知识储备，更能培养孩子耐心且仔细的工匠精神。本系列中所有的动手过程，充满了挑战性、趣味性、创造性，不仅让孩子有满满的体验感、成就感，还培养了孩子动手解决问题的能力，从而让孩子健康快乐的成长。
9787521726251,奇妙的身体旅行,（英）马克斯·彭伯顿，著,中信出版社,2021.1,（英）克里斯·马登，绘；高琼，译,88.00,精装,25*38,,,,,中文,1,科普/百科,生物学,R32-49,2020-12,身体 少儿读物,,本书是一本少儿科普书，适合6-12岁小读者阅读。想象一下自己可以变小，小到钻进自己的身体，你可以近距离观察自己的眼睛、在血管里玩漂流，与此同时发现自己的身体是如何工作的。职业医生、畅销书作家马克斯·彭伯顿博士通过解剖学向我们展示了人体的奇妙：探索我们每个器官和整个系统是如何运作，为什么我们的身体如此特别。除此以外，博士给出的小贴士还可以告诉你如何通过锻炼让身体变得顶呱呱，好好吃饭，心情愉快。本书包含的主题有：你的身体、不可思议的细胞、设计大师基因、强有力的肌肉、中空的骨头、控制中心（大脑）、神经网络、超级脊柱、神奇的眼睛、听力指挥部、嗅觉中心、咯咯响的牙齿、嘴巴的那些事、不可思议的肝脏、清洁团队、可充气的肺部、重要的心脏、宝贵的血液、深入皮肤、防御系统、皮毛和爪子、美妙的女孩和女人、强壮的男孩和男性、新生命的诞生、词汇表、索引。
9787501620845,挖挖挖，找到远古密码,（意）乔瓦娜·巴尔达萨雷，等著,天天出版社,2023.7,（意）斯特凡诺·托涅蒂，绘；章尹代子，译,59.00,平装,17 * 23,,,,,中文,1,科普/百科,地球科学,K917-49,2023-05,文化遗址; 世界; 少儿读物,,这是一本写给孩子的关于古代文明遗迹如何发现的科普启蒙读物，由专业的考古学家团队编写，深入浅出讲述了什么是考古学、考古学家需要具备哪些方面的知识储备、去哪里寻找并发现文明遗迹、挖掘的东西如何鉴定等孩子感兴趣的话题，并对兵马俑、马丘比丘、庞贝古城、石窟壁画等进行了详细说明。文中也穿插了连线、小测验、涂鸦等游戏环节，帮助孩子更好地理解专业知识，寓教于乐。带领小读者走进考古现场，走进历史，了解世界文化遗产，了解文物的价值。译者是中国人。
9787571329457,无脊椎动物,"西班牙Sol90公司, 编著",江苏凤凰科学技术出版社,2022.10,"张辰亮, 译",40.00,精装,19*26,,国家地理图解万物大百科,,,中文,1,科普/百科,生物学,Q959.1-49,2022-05,无脊椎动物门; 普及读物,,这本知识丰富的图书，它收录了无脊椎动物方方面面的精彩图片和有趣的知识。比如，蚊子只能刺透哺乳动物的皮肤吸它们的血，但苍蝇却可以吃固体食物，因为它们的消化过程在体外就已经开始了；以鸟类和哺乳动物的血液为食的跳蚤既小又没有翅膀，但它们的跳高水平却比任何运动员都要强。本书还会告诉你，哪些虫子是对你有好处的，哪些虫子需要控制或消灭，因为它们会传播像南美锥虫病那样的疾病。只要翻开这本书，精彩的图片和详细的图解就将向你展示这些地球上最小的生命是如何生活、变化、成长和交流的。阅读这本书，你将会惊喜连连、受益无穷！
9787110104989,王朝,"(英)丽莎·里根, 文",科学普及出版社,2023.1,"李颖, 译",150.00,平装,25 * 25,科普版,探秘非洲野犬,,,中文,1,科普/百科,生物学,Q95-49,2022-09,犬科; 少儿读物,,本书是英国广播公司出品的《王朝》纪录片少儿科普5册系列图书，分别以黑猩猩、帝企鹅、狮子、杂色狼、老虎为对象，介绍了它们的基本情况、生活习性等知识。图片清晰生动，语言简练亲切，适合3~6岁儿童阅读。本书文字部分的作者是丽莎·里根，英国出版学硕士，幼儿教育专家，畅销书作家，具有丰富的出版经验。图片来自英国广播公司《王朝》系列节目摄制组，近距离的拍摄让每一张图片都清晰精美。无论从阅读角度还是视觉角度，都能带给读者优质的阅读体验。
9787533964344,超级科学家,（意）费德里克·塔蒂亚，（意）艾丽莎·帕拉齐，著,浙江文艺出版社,2021.4,（意）安东乔纳塔·费拉里，绘；崔鹏飞，译,30.00,平装,17*23,,气候与环境,,,中文,1,中小学课外读物,环境科学技术及资源科学技术（原名为环、保）,Z228.1; X16-49,2021-02,科学知识－儿童读物；气候环境－儿童读物,,“超级科学家”系列是一套专门为7～12岁儿童度身打造的少儿科普读物，曾获2013年度“安徒生国际儿童文学大奖——最佳教育类图书系列”奖项；2019年，该系列顺利入选“40年中国最具影响力400本科学科普书”；2020年，入选“2019年中国童书榜优秀童书”。《气候与环境》一书中共设置了二十九个有趣问题。例如，北极会融化消失吗？什么是胡萝卜冰？如果海洋变暖，鱼儿会出汗吗？地球为什么发烧了？什么是“水炸弹”？北极更冷还是南极更冷？等等。然后，作者通过简单易懂的文字，配合充满童趣的手绘式插图，将这些问题一一解答清楚，领本书既有科普读物的严谨性，又不失童书的趣味性。
